# Lines still containing Cyrillic, per file. Generated; see
# ops/ci/check-language.py. The count may only go down: this file is
# a ratchet, and its diff is the record of the migration to English.
#
# path	lines
web/e2e/playwright.config.ts	18
web/index.html	12
web/package.json	1
web/src/app/main.ts	80
web/src/app/pages/feed.ts	158
web/src/app/pages/login.ts	64
web/src/app/pages/moderation.ts	52
web/src/app/pages/post.ts	67
web/src/app/pages/profile.ts	73
web/src/app/parts.ts	117
web/src/app/routes.ts	19
web/src/app/session.ts	54
web/src/app/stream.ts	71
web/src/core/api.ts	31
web/src/core/dom.ts	93
web/src/core/reactive.ts	132
web/src/core/router.ts	46
web/src/core/stream.ts	53
web/src/generated/api.ts	15
web/src/generated/errors.ts	8
web/src/generated/events.ts	35
web/src/generated/paths.ts	11
web/src/test/api.test.ts	41
web/src/test/dom.test.ts	74
web/src/test/list.test.ts	80
web/src/test/reactive.test.ts	93
web/src/test/router.test.ts	105
web/src/test/session-stream.test.ts	156
web/src/test/session.test.ts	35
web/src/test/stream.test.ts	36
web/styles.css	166
web/tsconfig.json	6
